code,name_ko,name_en,abbr,synonyms,unit,category,reference,verified,note,value_type,std_domain,canonical_format,normalization_note,synonym_count,source_count
MD-001,측정소명,Station Name,MSRSTN_NM,ptNm,,station,"공공데이터 공통표준용어(행정안전부, 20251101 8차)",Y,공통표준용어 등재(5차 2022-07). 서울시 API의 MSRSTN_NM은 이 표준을 그대로 따른 사례,text,명V200,,소스마다 측정소명/조사지점명/시설명/하천명으로 부른다. 지점 마스터와 대조해 코드로 승격 필요,5,5
MD-002,측정소코드,Station Code,MSRSTN_CD,ptNo,,station,공통표준용어 미등재 — 공통표준단어 조합(기관표준용어),N,공통표준용어 미등재(exact match 0건). 공통표준단어 측정소(MSRSTN)+코드(CD) 조합으로 만든 기관표준용어이며 공식 표준용어가 아니다. 근접 표준용어는 '측정지점번호' MSPT_NO(번호V50),code,코드,,기관마다 코드 체계가 달라 그대로는 조인 불가,1,1
MD-003,하천명,River Name,RVR_NM,,,station,"공공데이터 공통표준용어(행정안전부, 20251101 8차)",Y,공통표준용어 등재(5차 2022-07),text,명V100,,측정소명과 구분해야 한다. 하천명만 있고 지점이 없는 데이터가 존재,3,3
MD-004,측정시설명,Facility Name,,FACLT_NM|공동시설명,,station,"미확인 — 공통표준용어 13,176건 대조 필요",N,,text,,,정수장·물재생센터 등 시설 단위 관측의 지점명,2,2
MD-005,측정시설번호,Facility Number,,FACLT_NO,,station,"미확인 — 공통표준용어 13,176건 대조 필요",N,,code,,,,1,1
MD-030,채수지점번호,Sampling Spot Number,MSPT_NO,SPOT_NO,,station,공통표준용어 '측정지점번호' 차용,N,근접 표준용어 '측정지점번호'(MSPT_NO)를 차용. 원 표기와 다르므로 확인 필요,code,번호V50,,,2,2
MD-006,측정일자,Measurement Date,MSRMT_YMD,wmcymd|YMD|검사일자,,time,"공공데이터 공통표준용어(행정안전부, 20251101 8차)",Y,공통표준용어 등재(3차 2021-10). 저장 YYYYMMDD / 표현 YYYY-MM-DD,date,연월일C8,YYYY-MM-DD,실데이터 포맷이 2012.02.03 / 20260805 / 2021-04-11로 제각각 — 적재 시 통일,4,4
MD-007,측정일시,Measurement Datetime,MSRMT_DT,OCCUR_DE_TM,,time,"공공데이터 공통표준용어(행정안전부, 20251101 8차)",Y,공통표준용어 등재(4차 2021-12),timestamp,연월일시분초D,YYYY-MM-DD HH24:MI:SS,날짜와 시각이 분리된 소스는 결합해서 채운다,2,2
MD-008,측정연도,Measurement Year,,wmyr|연도|해당연도|년|SUM_YY,,time,"미확인 — 공통표준용어 13,176건 대조 필요",N,,integer,,YYYY,연/월을 분리 저장하는 소스가 많다. 측정일자로 통합 가능하면 통합,5,5
MD-009,측정월,Measurement Month,,wmod|월,,time,"미확인 — 공통표준용어 13,176건 대조 필요",N,,integer,,MM,'02'처럼 zero-pad 문자열로 오는 소스 있음,3,3
